Energy	Efficiency(GR)	alpha(norm)	alpha	beta	Cff
2152	0.4791186755	87.64101529	2.35898	4.87187323795662	2.0633407928715
2156	0.4800281909	87.64707303	2.35293	4.8654792923617	2.06593479278044
2160	0.4809029972	87.65310397	2.34690000000001	4.85910701109389	2.0685337389747
2164	0.4817103013	87.65910579	2.34089	4.85275633329374	2.07113757726197
2168	0.4824837156	87.66508276	2.33492	4.84643684268401	2.07373261653831
2172	0.4832214851	87.6710357	2.32896	4.84013399393753	2.07633916158625
2176	0.4841647483	87.6809648	2.31904	4.83193938874968	2.08169409330203
2180	0.48511343	87.68686994	2.31313	4.82568650550764	2.08431552800331
2184	0.4860291727	87.69275052	2.30725	4.81945968961856	2.08693452270082
2188	0.4868943568	87.69860507	2.30139	4.81325407743198	2.08955792453638
2192	0.4877411045	87.70443617	2.29555999999999	4.80707438893264	2.09217863907272
2196	0.4885469812	87.71024036	2.28976	4.80092054660256	2.09479650912681
2200	0.4892793011	87.71601805	2.28398	4.7947877053951	2.09741847379187
2204	0.490092326	87.72577225	2.27423	4.78677713371339	2.10289476177627
2208	0.4910398925	87.73150302	2.2685	4.78069324572463	2.10553041825287
2212	0.4919357243	87.73721135	2.26279	4.77463016743857	2.10816995675061
2216	0.4928012525	87.74289727	2.25709999999999	4.76858784010577	2.11081331072047
2220	0.4936372685	87.74855939	2.25144	4.76257093672234	2.11345312535308
2224	0.4943948013	87.75419803	2.2458	4.75657465543703	2.1160965544645
2228	0.4951382288	87.75981432	2.24019	4.75060365778774	2.11873617584526
2232	0.4958671563	87.76940318	2.2306	4.74276890182104	2.12433937210387
2236	0.4967711559	87.7749674	2.22503	4.73684118606978	2.12699896312527
2240	0.4976403197	87.78050861	2.21948999999999	4.73093854127052	2.1296543824546
2244	0.4984634613	87.78602791	2.21397	4.7250562024518	2.13231297181552
2248	0.4992400179	87.79152561	2.20847000000001	4.71919411213739	2.13497465690059
2252	0.4999872077	87.7970017	2.203	4.71335689107426	2.13763178087011
2256	0.5007149899	87.80245548	2.19754	4.70753512013833	2.14029939748533
2260	0.501405228	87.80788611	2.19211	4.70173809265792	2.1429622327596
2264	0.5023072418	87.81729515	2.1827	4.69409815307218	2.1487071089915
2268	0.5032637236	87.82267901	2.17731999999999	4.68834805220096	2.15138114921377
2272	0.5041323037	87.82803877	2.17196	4.68261783161568	2.15405772683046
2276	0.5049596059	87.83337732	2.16661999999999	4.6769074349206	2.1567367606925
2280	0.5057635739	87.83869465	2.16131	4.67122143676088	2.1594103182928
2284	0.5065240113	87.84399128	2.15600999999999	4.66555051353199	2.16209398331161
2288	0.5072557121	87.84926727	2.15073	4.65989924594561	2.16477985579773
2292	0.5081265798	87.85852216	2.14148	4.65242806870807	2.17064802790797
2296	0.5090872014	87.863756	2.13624	4.64681822960455	2.17335195265406
2300	0.509979711	87.86896959	2.13103	4.64123247074435	2.17604981157174
2304	0.5108225434	87.87415899	2.12584	4.63566612986521	2.17874950360458
2308	0.5116249278	87.87932555	2.12067	4.63011915176929	2.18145093996494
2312	0.5123550094	87.88447047	2.11553000000001	4.62459605985174	2.18414586892674
2316	0.5130293385	87.88959393	2.11041	4.61909220947245	2.18684229136386
2320	0.5137728792	87.89869759	2.10129999999999	4.61177749232438	2.1928483402054
2324	0.5146737904	87.90378165	2.09622	4.60631421848893	2.19556172859706
2328	0.5155395758	87.9088459	2.09115	4.60086546898367	2.19828470873631
2332	0.516413543	87.91388889	2.08611000000001	4.59544029312791	2.2010005440737
2336	0.5171921664	87.91891152	2.08109	4.5900340821257	2.20371744188243
2340	0.5178945189	87.92391225	2.07608999999999	4.5846467819679	2.20643530549343
2344	0.5185497556	87.92889046	2.07111	4.57927833879723	2.20915403731848
2348	0.5192429735	87.9378482	2.06215	4.57212167082804	2.21528842041979
2352	0.5201008266	87.9427862	2.05721	4.56679300444466	2.21802316024479
2356	0.5209296861	87.94770485	2.0523	4.56148753237476	2.22074987667769
2360	0.5217116997	87.95260456	2.0474	4.55619618981314	2.22348568846134
2364	0.5224722759	87.9574855	2.04250999999999	4.55091894021851	2.22623060311938
2368	0.5231595896	87.96234781	2.03765	4.54566471990681	2.22896714981627
2372	0.5237990717	87.9671901	2.03281	4.54042897858404	2.23170388934649
2376	0.5244771122	87.9760137	2.02399	4.53342291910193	2.23797359782716
2380	0.525330944	87.98081383	2.01918999999999	4.52822617022234	2.2407253093739
2384	0.5261018403	87.985594	2.01441	4.52304773720675	2.24347692736234
2388	0.5268741831	87.99035518	2.00964	4.51788311583805	2.24623730693102
2392	0.5276201689	87.9950975	2.00490000000001	4.51274116319165	2.24898844836937
